"District","FIPS","Year","Variable","Measure Type","Value"
"Area Cooperative Educational Services","","2017-2018","Four Year Graduation Count","Number","-6666"
"Area Cooperative Educational Services","","2017-2018","Four Year Graduation Rate","Percent","-6666"
"Area Cooperative Educational Services","","2017-2018","Still Enrolled After Four Years Count","Number","-6666"
"Area Cooperative Educational Services","","2017-2018","Still Enrolled After Four Years Rate","Percent","-6666"
"Area Cooperative Educational Services","","2017-2018","Other Count","Number","-6666"
"Area Cooperative Educational Services","","2017-2018","Other Rate","Percent","-6666"
"Area Cooperative Educational Services","","2018-2019","Total Cohort Count","Number","-6666"
"Area Cooperative Educational Services","","2018-2019","Four Year Graduation Count","Number","-6666"
"Area Cooperative Educational Services","","2018-2019","Four Year Graduation Rate","Percent","-6666"
"Area Cooperative Educational Services","","2018-2019","Still Enrolled After Four Years Count","Number","-6666"
"Area Cooperative Educational Services","","2018-2019","Still Enrolled After Four Years Rate","Percent","-6666"
"Area Cooperative Educational Services","","2018-2019","Other Count","Number","-6666"
"Area Cooperative Educational Services","","2018-2019","Other Rate","Percent","-6666"
"Ashford School District","","2010-2011","Total Cohort Count","Number","-6666"
"Ashford School District","","2010-2011","Four Year Graduation Count","Number","-6666"
"Ashford School District","","2010-2011","Four Year Graduation Rate","Percent","-6666"
"Ashford School District","","2010-2011","Still Enrolled After Four Years Count","Number","-6666"
"Ashford School District","","2010-2011","Still Enrolled After Four Years Rate","Percent","-6666"
"Ashford School District","","2010-2011","Other Count","Number","-6666"
"Ashford School District","","2010-2011","Other Rate","Percent","-6666"
"Ashford School District","","2011-2012","Total Cohort Count","Number","-6666"
"Ashford School District","","2011-2012","Four Year Graduation Count","Number","-6666"
"Ashford School District","","2011-2012","Four Year Graduation Rate","Percent","-6666"
"Ashford School District","","2011-2012","Still Enrolled After Four Years Count","Number","-6666"
"Ashford School District","","2011-2012","Still Enrolled After Four Years Rate","Percent","-6666"
"Ashford School District","","2011-2012","Other Count","Number","-6666"
"Ashford School District","","2011-2012","Other Rate","Percent","-6666"
"Ashford School District","","2012-2013","Total Cohort Count","Number","-6666"
"Ashford School District","","2012-2013","Four Year Graduation Count","Number","-6666"
"Ashford School District","","2012-2013","Four Year Graduation Rate","Percent","-6666"
"Ashford School District","","2012-2013","Still Enrolled After Four Years Count","Number","-6666"
"Ashford School District","","2012-2013","Still Enrolled After Four Years Rate","Percent","-6666"
"Ashford School District","","2012-2013","Other Count","Number","-6666"
"Ashford School District","","2012-2013","Other Rate","Percent","-6666"
"Ashford School District","","2013-2014","Total Cohort Count","Number","-6666"
"Ashford School District","","2013-2014","Four Year Graduation Count","Number","-6666"
"Ashford School District","","2013-2014","Four Year Graduation Rate","Percent","-6666"
"Ashford School District","","2013-2014","Still Enrolled After Four Years Count","Number","-6666"
"Ashford School District","","2013-2014","Still Enrolled After Four Years Rate","Percent","-6666"
"Ashford School District","","2013-2014","Other Count","Number","-6666"
"Ashford School District","","2013-2014","Other Rate","Percent","-6666"
"Ashford School District","","2014-2015","Total Cohort Count","Number","-6666"
"Ashford School District","","2014-2015","Four Year Graduation Count","Number","-6666"
"Ashford School District","","2014-2015","Four Year Graduation Rate","Percent","-6666"
"Ashford School District","","2014-2015","Still Enrolled After Four Years Count","Number","-6666"
"Ashford School District","","2014-2015","Still Enrolled After Four Years Rate","Percent","-6666"
"Ashford School District","","2014-2015","Other Count","Number","-6666"
"Ashford School District","","2014-2015","Other Rate","Percent","-6666"
"Ashford School District","","2015-2016","Total Cohort Count","Number","-6666"
"Ashford School District","","2015-2016","Four Year Graduation Count","Number","-6666"
"Ashford School District","","2015-2016","Four Year Graduation Rate","Percent","-6666"
"Ashford School District","","2015-2016","Still Enrolled After Four Years Count","Number","-6666"
"Ashford School District","","2015-2016","Still Enrolled After Four Years Rate","Percent","-6666"
"Ashford School District","","2015-2016","Other Count","Number","-6666"
"Ashford School District","","2015-2016","Other Rate","Percent","-6666"
"Ashford School District","","2016-2017","Total Cohort Count","Number","-6666"
"Ashford School District","","2016-2017","Four Year Graduation Count","Number","-6666"
"Ashford School District","","2016-2017","Four Year Graduation Rate","Percent","-6666"
"Ashford School District","","2016-2017","Still Enrolled After Four Years Count","Number","-6666"
"Ashford School District","","2016-2017","Still Enrolled After Four Years Rate","Percent","-6666"
"Ashford School District","","2016-2017","Other Count","Number","-6666"
"Ashford School District","","2016-2017","Other Rate","Percent","-6666"
"Ashford School District","","2017-2018","Total Cohort Count","Number","-6666"
"Ashford School District","","2017-2018","Four Year Graduation Count","Number","-6666"
"Ashford School District","","2017-2018","Four Year Graduation Rate","Percent","-6666"
"Ashford School District","","2017-2018","Still Enrolled After Four Years Count","Number","-6666"
"Ashford School District","","2017-2018","Still Enrolled After Four Years Rate","Percent","-6666"
"Ashford School District","","2017-2018","Other Count","Number","-6666"
"Ashford School District","","2017-2018","Other Rate","Percent","-6666"
"Ashford School District","","2018-2019","Total Cohort Count","Number","-6666"
"Ashford School District","","2018-2019","Four Year Graduation Count","Number","-6666"
"Ashford School District","","2018-2019","Four Year Graduation Rate","Percent","-6666"
"Ashford School District","","2018-2019","Still Enrolled After Four Years Count","Number","-6666"
"Ashford School District","","2018-2019","Still Enrolled After Four Years Rate","Percent","-6666"
"Ashford School District","","2018-2019","Other Count","Number","-6666"
"Ashford School District","","2018-2019","Other Rate","Percent","-6666"
"Avon School District","900302060","2010-2011","Total Cohort Count","Number","254"
"Avon School District","900302060","2010-2011","Four Year Graduation Count","Number","243"
"Avon School District","900302060","2010-2011","Four Year Graduation Rate","Percent","95.7"
"Avon School District","900302060","2010-2011","Still Enrolled After Four Years Count","Number","-9999"
"Avon School District","900302060","2010-2011","Still Enrolled After Four Years Rate","Percent","-9999"
"Avon School District","900302060","2010-2011","Other Count","Number","-9999"
"Avon School District","900302060","2010-2011","Other Rate","Percent","-9999"
"Avon School District","900302060","2011-2012","Total Cohort Count","Number","285"
"Avon School District","900302060","2011-2012","Four Year Graduation Count","Number","274"
"Avon School District","900302060","2011-2012","Four Year Graduation Rate","Percent","96.1"
"Avon School District","900302060","2011-2012","Still Enrolled After Four Years Count","Number","-9999"
"Avon School District","900302060","2011-2012","Still Enrolled After Four Years Rate","Percent","-9999"
"Avon School District","900302060","2011-2012","Other Count","Number","-9999"
"Avon School District","900302060","2011-2012","Other Rate","Percent","-9999"
"Avon School District","900302060","2012-2013","Total Cohort Count","Number","263"
"Avon School District","900302060","2012-2013","Four Year Graduation Count","Number","252"
"Avon School District","900302060","2012-2013","Four Year Graduation Rate","Percent","95.8"
"Avon School District","900302060","2012-2013","Still Enrolled After Four Years Count","Number","-9999"
"Avon School District","900302060","2012-2013","Still Enrolled After Four Years Rate","Percent","-9999"
"Avon School District","900302060","2012-2013","Other Count","Number","-9999"
"Avon School District","900302060","2012-2013","Other Rate","Percent","-9999"
"Avon School District","900302060","2013-2014","Total Cohort Count","Number","272"
"Avon School District","900302060","2013-2014","Four Year Graduation Count","Number","265"
"Avon School District","900302060","2013-2014","Four Year Graduation Rate","Percent","97.4"
"Avon School District","900302060","2013-2014","Still Enrolled After Four Years Count","Number","-9999"
"Avon School District","900302060","2013-2014","Still Enrolled After Four Years Rate","Percent","-9999"
"Avon School District","900302060","2013-2014","Other Count","Number","-9999"
"Avon School District","900302060","2013-2014","Other Rate","Percent","-9999"
"Avon School District","900302060","2014-2015","Total Cohort Count","Number","248"
"Avon School District","900302060","2014-2015","Four Year Graduation Count","Number","238"
"Avon School District","900302060","2014-2015","Four Year Graduation Rate","Percent","96.0"
"Avon School District","900302060","2014-2015","Still Enrolled After Four Years Count","Number","-9999"
"Avon School District","900302060","2014-2015","Still Enrolled After Four Years Rate","Percent","-9999"
"Avon School District","900302060","2014-2015","Other Count","Number","-9999"
"Avon School District","900302060","2014-2015","Other Rate","Percent","-9999"
"Avon School District","900302060","2015-2016","Total Cohort Count","Number","240"
"Avon School District","900302060","2015-2016","Four Year Graduation Count","Number","233"
"Avon School District","900302060","2015-2016","Four Year Graduation Rate","Percent","97.1"
"Avon School District","900302060","2015-2016","Still Enrolled After Four Years Count","Number","-9999"
"Avon School District","900302060","2015-2016","Still Enrolled After Four Years Rate","Percent","-9999"
"Avon School District","900302060","2015-2016","Other Count","Number","-9999"
"Avon School District","900302060","2015-2016","Other Rate","Percent","-9999"
